-----------4.blast8/QE_150611_137.blast8.sqlite3------------
-------------Discriminative peptides per spname-------------
Cumulative Count       % Rank                 Description                             
1          0      100.00 species group        Pseudomonas aeruginosa group            
2339       73      99.53 family               Staphylococcaceae                       
2266       1551    99.52 genus                Staphylococcus                          
707        701     97.52 species              Staphylococcus aureus                   
6          4       60.00 subspecies           Staphylococcus aureus subsp. aureus     
2          0       20.00 subspecies           Staphylococcus saprophyticus subsp. saprophyticus
2          2       15.38 no rank              Halobacteroides halobius DSM 5150       
2          2       15.38 no rank              Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305
1          0       10.00 subspecies           Desulfovibrio desulfuricans subsp. desulfuricans
1          0       10.00 subspecies           Staphylococcus carnosus subsp. carnosus 
1          1        7.69 no rank              Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774
1          1        7.69 no rank              Methanoregula formicica SMSP            
1          1        7.69 no rank              Nocardia cyriacigeorgica GUH-2          
1          1        7.69 no rank              Octadecabacter antarcticus 307          
1          1        7.69 no rank              Staphylococcus aureus subsp. aureus 11819-97
1          1        7.69 no rank              Staphylococcus aureus subsp. aureus str. Newman
1          1        7.69 no rank              Staphylococcus carnosus subsp. carnosus TM300
1          1        7.69 no rank              Staphylococcus pasteuri SP1             
1          1        7.69 no rank              Thermosipho melanesiensis BI429         
2          0        0.28 species              Halobacteroides halobius                
2          2        0.28 species              Staphylococcus argenteus                
2          0        0.28 species              Staphylococcus saprophyticus            
1          1        0.14 species              Alicycliphilus denitrificans            
1          0        0.14 species              Desulfovibrio desulfuricans             
1          0        0.14 species              Methanoregula formicica                 
1          0        0.14 species              Nocardia cyriacigeorgica                
1          0        0.14 species              Octadecabacter antarcticus              
1          1        0.14 species              Pseudomonas aeruginosa                  
1          1        0.14 species              Spirochaeta thermophila                 
1          0        0.14 species              Staphylococcus carnosus                 
1          1        0.14 species              Staphylococcus epidermidis              
1          0        0.14 species              Staphylococcus pasteuri                 
1          1        0.14 species              Staphylococcus pseudintermedius         
1          0        0.14 species              Thermosipho melanesiensis               
2          0        0.09 genus                Halobacteroides                         
2          0        0.09 family               Halobacteroidaceae                      
1          0        0.04 genus                Alicycliphilus                          
1          0        0.04 genus                Desulfovibrio                           
1          1        0.04 genus                Lactobacillus                           
1          0        0.04 genus                Methanoregula                           
1          0        0.04 genus                Nocardia                                
1          0        0.04 genus                Octadecabacter                          
1          0        0.04 genus                Pseudomonas                             
1          0        0.04 genus                Spirochaeta                             
1          0        0.04 genus                Thermosipho                             
1          0        0.04 family               Comamonadaceae                          
1          0        0.04 family               Desulfovibrionaceae                     
1          0        0.04 family               Fervidobacteriaceae                     
1          0        0.04 family               Lactobacillaceae                        
1          0        0.04 family               Methanoregulaceae                       
1          0        0.04 family               Nocardiaceae                            
1          0        0.04 family               Pseudomonadaceae                        
1          0        0.04 family               Rhodobacteraceae                        
1          0        0.04 family               Spirochaetaceae                         
